turbine_id,date_measure,wind_speed,vibration_level,temperature,power_output,maintenance_done,failure_within_7d,time_to_failure_days,technician_id,planned_intervention_date
5,2024-08-14,12.26,3.57,49.6,557.2,0,0,33.2,139,2024-09-02
39,2024-10-29,10.14,3.91,48.8,627.7,0,0,25.3,134,2024-11-23
33,2024-08-21,7.94,2.24,45.7,317.5,0,0,46.4,147,2024-08-30
22,2024-08-04,6.93,3.02,52.9,336.6,0,0,30.3,148,2024-08-05
22,2024-06-19,11.81,3.18,29.3,566.6,0,0,32.5,135,2024-07-09
43,2024-03-30,10.14,4.55,34.4,476.4,0,0,36.8,118,2024-04-10
5,2024-04-12,9.26,1.52,42.3,589.6,0,0,45.3,130,2024-04-28
35,2024-09-29,18.19,2.09,30.6,1073.5,0,0,54.6,121,2024-10-13
11,2024-01-26,11.67,5.8,40.9,679.6,1,0,14.0,132,2024-02-05
5,2024-01-31,17.08,2.73,41.3,919.5,0,0,41.7,141,2024-02-21
27,2024-05-24,9.87,1.11,58.1,539.6,0,0,40.7,118,2024-06-08
49,2024-10-09,12.98,2.42,46.4,808.9,0,0,50.1,125,2024-10-28
37,2024-08-27,11.78,0.23,55.3,702.5,0,0,50.4,102,2024-09-16
39,2024-08-03,5.21,3.24,48.0,378.4,1,0,20.1,137,2024-08-23
36,2024-07-13,17.71,3.81,39.6,1140.0,1,0,33.7,124,2024-07-23
40,2024-02-10,11.46,2.09,46.3,667.4,0,0,42.9,123,2024-03-04
26,2024-05-01,14.99,2.53,52.3,751.0,0,0,37.3,127,2024-05-08
7,2024-01-30,8.99,3.92,56.9,479.0,1,1,4.2,110,2024-02-27
42,2024-10-03,11.34,1.25,43.7,672.6,0,0,42.9,130,2024-10-27
23,2024-10-01,8.53,1.68,28.5,449.8,1,0,33.8,138,2024-10-17
26,2024-04-04,16.94,2.77,27.8,932.3,0,0,43.5,117,2024-04-10
19,2024-04-16,13.25,2.25,41.7,800.3,1,0,31.4,106,2024-05-13
10,2024-04-25,13.47,2.71,21.6,1002.5,0,0,38.1,119,2024-05-12
47,2024-11-20,17.43,1.74,63.0,1006.9,0,0,33.9,110,2024-12-14
40,2024-06-27,16.63,3.21,51.0,997.3,1,0,13.6,119,2024-06-28
33,2024-10-05,15.06,2.85,38.6,798.7,0,0,45.3,131,2024-10-15
21,2024-06-12,6.31,3.55,33.9,478.3,1,0,27.4,105,2024-06-21
42,2024-09-11,9.22,3.2,55.3,623.0,0,0,27.0,138,2024-10-05
28,2024-07-11,7.98,3.21,33.9,543.5,0,0,36.9,111,2024-07-25
23,2024-04-11,14.91,1.55,34.8,1003.4,0,0,56.9,145,2024-04-15
23,2024-11-15,12.68,3.49,37.3,726.8,0,0,42.5,137,2024-12-03
12,2024-09-15,6.44,2.67,46.1,362.1,0,0,39.7,113,2024-09-20
5,2024-10-07,11.25,2.83,51.2,811.5,0,0,39.9,128,2024-10-20
28,2024-12-12,6.02,4.05,56.9,412.0,0,0,22.5,105,2025-01-10
45,2024-03-31,11.79,2.28,55.4,529.7,0,0,31.5,105,2024-04-13
4,2024-02-03,5.38,4.35,45.0,359.1,0,0,25.9,148,2024-02-16
43,2024-07-31,14.12,4.44,55.2,800.4,1,1,5.7,140,2024-08-02
